epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1063,1.40555,1.88017,1.21083,0.97102,0.18539,0.36012,0.22897,1.47125,2.70332,1.17752,0.000543844,0.000543844,0.000543844
2,41.9769,1.44341,1.30976,1.23392,0.78755,0.24576,0.45862,0.24744,1.66803,2.43368,1.34027,0.00108137,0.00108137,0.00108137
3,61.4411,1.41312,1.22691,1.22239,0.75741,0.52005,0.6143,0.31703,1.67081,1.52599,1.35419,0.00160056,0.00160056,0.00160056
4,80.5567,1.43474,1.21848,1.23469,0.70712,0.42597,0.51057,0.29594,1.59176,1.7873,1.35205,0.00158448,0.00158448,0.00158448
5,99.317,1.42759,1.16399,1.26008,0.77923,0.5189,0.60058,0.32562,1.6178,1.45897,1.38205,0.00155698,0.00155698,0.00155698
6,119.646,1.39124,1.09825,1.23345,0.79958,0.59755,0.70581,0.40195,1.52697,1.18282,1.28477,0.00152947,0.00152947,0.00152947
7,138.207,1.37985,1.04948,1.21642,0.79375,0.65719,0.73877,0.42769,1.44763,1.06737,1.24775,0.00150197,0.00150197,0.00150197
8,158.488,1.34737,1.01674,1.2044,0.77391,0.65575,0.74461,0.44145,1.4585,1.06673,1.22292,0.00147446,0.00147446,0.00147446
9,177.193,1.34549,0.97413,1.19323,0.81135,0.67826,0.77178,0.45191,1.46244,1.0011,1.25198,0.00144696,0.00144696,0.00144696
10,196.469,1.34021,0.9524,1.18726,0.8174,0.67409,0.77989,0.4463,1.45666,1.02209,1.23977,0.00141945,0.00141945,0.00141945
11,216.001,1.31132,0.93535,1.18813,0.77041,0.70206,0.77753,0.44523,1.48549,1.03212,1.25296,0.00139195,0.00139195,0.00139195
12,234.594,1.3171,0.90802,1.18552,0.82639,0.66646,0.77678,0.45668,1.41169,0.99041,1.20449,0.00136444,0.00136444,0.00136444
13,254.757,1.29737,0.89543,1.18337,0.83208,0.69812,0.82062,0.48918,1.35908,0.90596,1.19776,0.00133693,0.00133693,0.00133693
14,273.609,1.27354,0.88214,1.17685,0.80207,0.59512,0.70666,0.42577,1.42595,1.11535,1.25165,0.00130943,0.00130943,0.00130943
15,293.21,1.26272,0.86491,1.16887,0.82142,0.64123,0.73686,0.46123,1.39914,1.10563,1.17436,0.00128192,0.00128192,0.00128192
16,311.926,1.28121,0.86808,1.15511,0.8109,0.69242,0.78847,0.46836,1.4349,0.93778,1.22233,0.00125442,0.00125442,0.00125442
17,331.553,1.25574,0.83238,1.15315,0.79653,0.73493,0.8134,0.49619,1.3239,0.88853,1.16879,0.00122691,0.00122691,0.00122691
18,350.383,1.23484,0.80612,1.14691,0.82508,0.74241,0.82666,0.49256,1.35417,0.85698,1.17889,0.00119941,0.00119941,0.00119941
19,369.919,1.21213,0.80158,1.14048,0.84481,0.7386,0.81477,0.49417,1.35865,0.8507,1.16261,0.0011719,0.0011719,0.0011719
20,389.146,1.2488,0.80519,1.15672,0.86121,0.70369,0.82836,0.50124,1.35446,0.84862,1.16341,0.0011444,0.0011444,0.0011444
21,407.979,1.22398,0.80337,1.14719,0.80654,0.74973,0.83637,0.50784,1.36481,0.85795,1.17271,0.00111689,0.00111689,0.00111689
22,428.105,1.20626,0.77962,1.12999,0.83157,0.70926,0.8074,0.49717,1.34212,0.83434,1.15373,0.00108938,0.00108938,0.00108938
23,446.641,1.18737,0.75944,1.12249,0.82056,0.75476,0.83425,0.51701,1.34367,0.84853,1.16046,0.00106188,0.00106188,0.00106188
24,466.503,1.18448,0.74365,1.12604,0.87721,0.74014,0.83638,0.5161,1.31749,0.80111,1.15182,0.00103437,0.00103437,0.00103437
25,485.282,1.18831,0.7413,1.11225,0.83645,0.74843,0.81625,0.513,1.30773,0.82357,1.14027,0.00100687,0.00100687,0.00100687
26,504.739,1.16886,0.72784,1.11995,0.86019,0.71946,0.82026,0.51006,1.33286,0.82283,1.1504,0.000979362,0.000979362,0.000979362
27,524.47,1.19069,0.74332,1.1204,0.84323,0.72699,0.82542,0.50877,1.37424,0.82743,1.17665,0.000951857,0.000951857,0.000951857
28,545.518,1.1489,0.70874,1.10056,0.78656,0.72846,0.79813,0.49617,1.37549,0.84021,1.1865,0.000924352,0.000924352,0.000924352
29,563.929,1.17801,0.73387,1.1204,0.89861,0.7488,0.84023,0.51911,1.32727,0.77917,1.15094,0.000896846,0.000896846,0.000896846
30,582.382,1.15573,0.71579,1.10861,0.87833,0.7466,0.85146,0.53218,1.30434,0.7845,1.15117,0.00086934,0.00086934,0.00086934
31,602.178,1.15182,0.70293,1.10391,0.87211,0.7748,0.86067,0.53768,1.2808,0.76073,1.13746,0.000841835,0.000841835,0.000841835
32,622.131,1.10024,0.68975,1.08594,0.89064,0.73886,0.84025,0.54085,1.28822,0.81781,1.1273,0.000814329,0.000814329,0.000814329
33,644.07,1.1299,0.68484,1.08841,0.8585,0.79001,0.86838,0.54763,1.27407,0.74355,1.13646,0.000786824,0.000786824,0.000786824
34,664.346,1.12872,0.68588,1.08886,0.88965,0.71867,0.83424,0.53557,1.3084,0.80155,1.14373,0.000759318,0.000759318,0.000759318
35,682.83,1.11107,0.67295,1.08465,0.8706,0.76494,0.84207,0.52644,1.30193,0.77645,1.13887,0.000731813,0.000731813,0.000731813
36,700.811,1.13181,0.67664,1.08753,0.8596,0.77082,0.85055,0.53762,1.31076,0.75368,1.13428,0.000704307,0.000704307,0.000704307
37,720.513,1.11477,0.66519,1.09266,0.84075,0.76675,0.85013,0.5293,1.30523,0.76954,1.126,0.000676802,0.000676802,0.000676802
