epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7975,1.68567,2.36077,1.35978,0.93679,0.18096,0.32819,0.15485,1.64601,2.83093,1.30998,0.00053344,0.00053344,0.00053344
2,22.8115,1.62404,1.5684,1.37992,0.52899,0.16182,0.26911,0.13188,1.80262,2.59696,1.45239,0.00106567,0.00106567,0.00106567
3,31.9158,1.61466,1.47949,1.36461,0.53097,0.47296,0.46901,0.22856,1.77879,1.97585,1.48996,0.00157975,0.00157975,0.00157975
4,41.1033,1.61329,1.47862,1.37594,0.44506,0.35656,0.33742,0.16008,1.88386,2.25422,1.59694,0.00158448,0.00158448,0.00158448
5,50.6461,1.5736,1.39408,1.34429,0.66309,0.61654,0.64461,0.3007,1.87701,1.49089,1.56307,0.00155698,0.00155698,0.00155698
6,60.2658,1.59768,1.34096,1.35588,0.57365,0.63153,0.58228,0.2669,1.83635,1.45553,1.52432,0.00152947,0.00152947,0.00152947
7,68.7899,1.58166,1.28444,1.34734,0.67959,0.62064,0.66735,0.32038,1.80029,1.42985,1.45583,0.00150197,0.00150197,0.00150197
8,78.6582,1.55261,1.23481,1.35456,0.67831,0.67137,0.72691,0.36341,1.64763,1.22705,1.36023,0.00147446,0.00147446,0.00147446
9,88.4454,1.53894,1.22006,1.32195,0.7788,0.63902,0.72912,0.38884,1.67526,1.21732,1.35474,0.00144696,0.00144696,0.00144696
10,97.4691,1.50516,1.13824,1.31824,0.79274,0.70277,0.77723,0.39517,1.62259,1.12589,1.34034,0.00141945,0.00141945,0.00141945
11,106.578,1.49697,1.12615,1.31372,0.77639,0.72142,0.78522,0.39614,1.72116,1.16586,1.40733,0.00139195,0.00139195,0.00139195
12,116.347,1.51393,1.11829,1.30139,0.80493,0.68,0.77625,0.37654,1.71314,1.19867,1.42028,0.00136444,0.00136444,0.00136444
13,125.994,1.44739,1.08491,1.2839,0.70873,0.68561,0.74113,0.38261,1.65797,1.14783,1.35795,0.00133693,0.00133693,0.00133693
14,134.275,1.47609,1.07856,1.29865,0.7296,0.69094,0.75315,0.41163,1.59293,1.0565,1.34692,0.00130943,0.00130943,0.00130943
15,143.926,1.4346,1.04583,1.27237,0.80068,0.76053,0.81995,0.45181,1.57623,0.96942,1.3307,0.00128192,0.00128192,0.00128192
16,153.631,1.42301,1.022,1.28749,0.80233,0.76526,0.81333,0.42603,1.61052,1.00499,1.33867,0.00125442,0.00125442,0.00125442
17,162.661,1.44536,1.00386,1.26214,0.78948,0.74817,0.81531,0.43657,1.60475,0.99779,1.30406,0.00122691,0.00122691,0.00122691
18,171.653,1.40324,0.97732,1.25495,0.87017,0.72553,0.8372,0.45136,1.55156,0.95318,1.28546,0.00119941,0.00119941,0.00119941
19,181.308,1.44255,0.99274,1.27024,0.78631,0.68696,0.75374,0.4085,1.61885,1.13646,1.3448,0.0011719,0.0011719,0.0011719
20,190.824,1.39908,0.97564,1.25813,0.78088,0.80386,0.84564,0.45928,1.54245,0.92449,1.27492,0.0011444,0.0011444,0.0011444
21,199.424,1.3853,0.94177,1.2498,0.81617,0.71585,0.79114,0.45679,1.52459,0.98375,1.27865,0.00111689,0.00111689,0.00111689
22,209.06,1.36448,0.91417,1.23706,0.85753,0.70112,0.81196,0.43892,1.56333,0.96334,1.30519,0.00108938,0.00108938,0.00108938
23,218.49,1.39863,0.91929,1.2442,0.77568,0.69373,0.75977,0.42331,1.62538,1.09162,1.3343,0.00106188,0.00106188,0.00106188
24,227.339,1.34352,0.90086,1.22303,0.84817,0.74614,0.83315,0.45849,1.57592,0.93254,1.29098,0.00103437,0.00103437,0.00103437
25,236.497,1.35054,0.90119,1.23813,0.84918,0.76575,0.84135,0.46027,1.54713,0.91425,1.27331,0.00100687,0.00100687,0.00100687
26,246.185,1.2998,0.89392,1.20861,0.79326,0.75271,0.84517,0.44896,1.5671,0.89948,1.30136,0.000979362,0.000979362,0.000979362
27,255.733,1.3222,0.86398,1.20432,0.86479,0.75528,0.83495,0.4545,1.56132,0.93385,1.27687,0.000951857,0.000951857,0.000951857
28,264.149,1.32038,0.88017,1.21102,0.79491,0.80773,0.84462,0.46128,1.56621,0.88486,1.28633,0.000924352,0.000924352,0.000924352
29,273.682,1.32649,0.85121,1.20843,0.8152,0.74332,0.80403,0.45283,1.55383,0.99922,1.26421,0.000896846,0.000896846,0.000896846
30,283.335,1.31846,0.86713,1.20317,0.78668,0.80613,0.84613,0.46888,1.54493,0.87459,1.26262,0.00086934,0.00086934,0.00086934
31,292.505,1.26607,0.8139,1.16638,0.87813,0.75439,0.85682,0.47369,1.5468,0.85635,1.25685,0.000841835,0.000841835,0.000841835
32,301.365,1.28445,0.80063,1.18489,0.8394,0.77764,0.84752,0.47792,1.50763,0.86448,1.24472,0.000814329,0.000814329,0.000814329
33,310.666,1.24669,0.80938,1.16675,0.86291,0.75839,0.86003,0.4858,1.49664,0.8253,1.24998,0.000786824,0.000786824,0.000786824
34,320.293,1.28105,0.8099,1.18662,0.8621,0.78504,0.87505,0.47146,1.53562,0.83023,1.28077,0.000759318,0.000759318,0.000759318
