epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7443,1.2247,2.69782,1.35517,0.96282,0.21844,0.50818,0.35682,0.99522,2.4166,1.12843,0.000324786,0.000324786,0.000324786
2,28.8752,1.13037,1.37584,1.31577,0.80831,0.61703,0.84364,0.59587,0.93467,1.30544,1.10266,0.000647261,0.000647261,0.000647261
3,41.8438,1.10006,1.16745,1.26789,0.90697,0.84986,0.87525,0.6076,1.02445,1.09134,1.16042,0.000958735,0.000958735,0.000958735
4,54.8847,1.05563,1.09932,1.24054,0.88004,0.81313,0.86645,0.61392,0.96977,1.05322,1.11206,0.0009505,0.0009505,0.0009505
5,67.7367,1.02953,1.03384,1.2217,0.88055,0.82534,0.88691,0.6475,0.90396,0.88948,1.09469,0.000934,0.000934,0.000934
6,80.5581,1.00803,0.98508,1.21047,0.92217,0.84861,0.91136,0.67227,0.91,0.76716,1.13015,0.0009175,0.0009175,0.0009175
7,93.7101,1.00519,0.96681,1.21354,0.86947,0.86753,0.88862,0.65002,0.91071,0.80428,1.10346,0.000901,0.000901,0.000901
8,106.301,0.97648,0.92372,1.19412,0.92325,0.88428,0.90431,0.65185,0.89533,0.74209,1.08917,0.0008845,0.0008845,0.0008845
9,119.372,0.96089,0.8823,1.18007,0.89991,0.85452,0.89039,0.65411,0.87906,0.77186,1.07595,0.000868,0.000868,0.000868
10,132.342,0.94128,0.85491,1.1695,0.92805,0.85356,0.91372,0.66264,0.85541,0.74628,1.06414,0.0008515,0.0008515,0.0008515
11,145.226,0.96066,0.85535,1.19061,0.90696,0.88754,0.91626,0.65657,0.87105,0.75355,1.07979,0.000835,0.000835,0.000835
12,158.087,0.92663,0.81027,1.16117,0.8781,0.86646,0.89292,0.64943,0.9264,0.79231,1.11482,0.0008185,0.0008185,0.0008185
13,171.054,0.89626,0.79084,1.14578,0.93552,0.85522,0.91373,0.69171,0.81427,0.64577,1.02684,0.000802,0.000802,0.000802
14,183.942,0.90932,0.76848,1.14519,0.917,0.873,0.91448,0.69806,0.81275,0.64494,1.03013,0.0007855,0.0007855,0.0007855
15,196.951,0.91573,0.7592,1.14765,0.92378,0.88296,0.90913,0.68245,0.85293,0.64359,1.07171,0.000769,0.000769,0.000769
16,209.762,0.88628,0.73409,1.13716,0.92283,0.90718,0.91636,0.69502,0.82792,0.59293,1.02751,0.0007525,0.0007525,0.0007525
