epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.379,1.15066,2.65124,1.41646,0.98619,0.12724,0.34989,0.21605,1.0589,2.67211,1.3155,0.000325397,0.000325397,0.000325397
2,27.4837,1.08215,1.59684,1.37229,0.8919,0.34141,0.43056,0.25343,1.17567,1.73326,1.31405,0.000647861,0.000647861,0.000647861
3,39.5481,1.08203,1.39131,1.33904,0.7016,0.59951,0.78387,0.51555,1.12005,1.37818,1.34825,0.000959325,0.000959325,0.000959325
4,51.8877,1.04973,1.28546,1.30961,0.79499,0.5927,0.66464,0.4282,1.05293,1.19621,1.25229,0.0009505,0.0009505,0.0009505
5,63.5972,1.03552,1.22994,1.29987,0.69794,0.8515,0.92879,0.62256,1.08795,1.13336,1.31511,0.000934,0.000934,0.000934
6,74.9782,1.01999,1.16262,1.29685,0.90684,0.86089,0.92386,0.63266,1.01482,0.93413,1.19066,0.0009175,0.0009175,0.0009175
7,87.4242,0.98189,1.1007,1.25188,0.88442,0.87469,0.94112,0.63156,0.95928,0.88781,1.16907,0.000901,0.000901,0.000901
8,99.6626,0.98659,1.08162,1.24795,0.83225,0.64653,0.86056,0.5818,1.06445,0.98041,1.22726,0.0008845,0.0008845,0.0008845
9,112.25,0.97659,1.03969,1.24619,0.85208,0.89931,0.94794,0.65454,0.92646,0.81131,1.13354,0.000868,0.000868,0.000868
10,124.682,0.93921,0.96511,1.2135,0.89048,0.92012,0.95271,0.70758,0.92307,0.75245,1.12738,0.0008515,0.0008515,0.0008515
11,137.12,0.92423,0.9444,1.20605,0.87822,0.87612,0.95754,0.66715,0.9408,0.73747,1.13106,0.000835,0.000835,0.000835
12,149.19,0.92058,0.93308,1.21434,0.9022,0.88619,0.94547,0.64789,0.88499,0.73892,1.09689,0.0008185,0.0008185,0.0008185
13,161.119,0.87467,0.85295,1.17639,0.89981,0.92089,0.95297,0.68858,0.92594,0.69981,1.12576,0.000802,0.000802,0.000802
14,173.281,0.88903,0.85825,1.18687,0.87818,0.90062,0.93397,0.64352,1.00748,0.80414,1.17586,0.0007855,0.0007855,0.0007855
15,185.482,0.8865,0.90279,1.19617,0.9163,0.93191,0.96802,0.71191,0.92196,0.6363,1.11006,0.000769,0.000769,0.000769
16,197.726,0.86515,0.845,1.16709,0.94158,0.9208,0.97226,0.71001,0.87081,0.64249,1.09501,0.0007525,0.0007525,0.0007525
17,210.171,0.8548,0.79688,1.16467,0.89609,0.91537,0.96578,0.72132,0.84294,0.609,1.05273,0.000736,0.000736,0.000736
18,222.359,0.83667,0.77388,1.14745,0.93545,0.91488,0.97386,0.73918,0.80575,0.57337,1.02661,0.0007195,0.0007195,0.0007195
19,234.155,0.82694,0.76097,1.14248,0.92231,0.92118,0.97096,0.71876,0.8745,0.55245,1.08337,0.000703,0.000703,0.000703
20,245.844,0.82181,0.75039,1.14003,0.91072,0.93168,0.96817,0.73035,0.81116,0.59245,1.05421,0.0006865,0.0006865,0.0006865
21,258.304,0.82244,0.75758,1.13973,0.93418,0.9575,0.9728,0.72025,0.82199,0.54749,1.04861,0.00067,0.00067,0.00067
22,270.73,0.81471,0.75127,1.13144,0.9214,0.9416,0.96968,0.70736,0.82198,0.60893,1.04962,0.0006535,0.0006535,0.0006535
23,283.061,0.80131,0.72388,1.13203,0.92453,0.90311,0.97408,0.6981,0.85769,0.56894,1.12535,0.000637,0.000637,0.000637
24,295.603,0.80898,0.72803,1.13765,0.91141,0.96427,0.97429,0.7242,0.81736,0.53747,1.06709,0.0006205,0.0006205,0.0006205
25,307.769,0.75797,0.69316,1.10216,0.9374,0.95347,0.97464,0.71646,0.8319,0.5199,1.03557,0.000604,0.000604,0.000604
26,320.194,0.7816,0.68085,1.11403,0.9216,0.92965,0.97507,0.74479,0.80497,0.53118,1.03839,0.0005875,0.0005875,0.0005875
27,332.388,0.76904,0.66433,1.10401,0.91278,0.95227,0.96792,0.72326,0.78037,0.55716,1.01941,0.000571,0.000571,0.000571
28,344.72,0.77484,0.67407,1.11438,0.92242,0.94995,0.97283,0.7238,0.79948,0.53229,1.05614,0.0005545,0.0005545,0.0005545
29,357.033,0.78069,0.66243,1.10754,0.90297,0.94078,0.96895,0.72165,0.81948,0.53027,1.03075,0.000538,0.000538,0.000538
30,369.487,0.76197,0.64779,1.10318,0.88878,0.94665,0.97743,0.74473,0.74353,0.50561,0.99759,0.0005215,0.0005215,0.0005215
31,381.715,0.7659,0.64126,1.10675,0.91301,0.94986,0.98283,0.71228,0.79159,0.50308,1.01775,0.000505,0.000505,0.000505
32,393.955,0.75861,0.62587,1.08815,0.91844,0.9257,0.97686,0.73294,0.7679,0.50538,0.994,0.0004885,0.0004885,0.0004885
33,406.47,0.74869,0.62683,1.09016,0.88889,0.94068,0.97772,0.76225,0.75897,0.49018,1.01355,0.000472,0.000472,0.000472
